Trial,Bay,Block,Range,Row,Expt_17,Name,Comments,Yr 6/11/17
Yr'17,AGT block,1,127,20,CAIGE,31:RAV15,,1
Yr'17,AGT block,1,127,21,CAIGE,33:RAV15,,1
Yr'17,AGT block,1,127,22,CAIGE,34:RAV15,,1
Yr'17,AGT block,1,127,23,CAIGE,35:RAV15,,1
Yr'17,AGT block,1,127,24,Control,Scepter,,4
Yr'17,AGT block,1,128,1,Control,Morocco,,9
Yr'17,AGT block,1,128,2,CAIGE,36:RAV15,,1
Yr'17,AGT block,1,128,3,CAIGE,37:RAV15,,1
Yr'17,AGT block,1,128,4,CAIGE,40:RAV15,,1
Yr'17,AGT block,1,128,5,CAIGE,41:RAV15,,1
Yr'17,AGT block,1,128,6,CAIGE,42:RAV15,,1
Yr'17,AGT block,1,128,7,CAIGE,47:RAV15,,1
Yr'17,AGT block,1,128,8,CAIGE,55:RAV15,,1
Yr'17,AGT block,1,128,9,Control,Tincurrin,,6
Yr'17,AGT block,1,128,10,CAIGE,57:RAV15,,3
Yr'17,AGT block,1,128,11,CAIGE,61:RAV15,,1
Yr'17,AGT block,1,128,12,CAIGE,62:RAV15,,1
Yr'17,AGT block,1,128,13,CAIGE,63:RAV15,,1
Yr'17,AGT block,1,128,14,CAIGE,64:RAV15,,1
Yr'17,AGT block,1,128,15,CAIGE,65:RAV15,,1
Yr'17,AGT block,1,128,16,CAIGE,67:RAV15,,1
Yr'17,AGT block,1,128,17,Control,Morocco,,9
Yr'17,AGT block,1,128,18,CAIGE,69:RAV15,,4
Yr'17,AGT block,1,128,19,CAIGE,70:RAV15,,1
Yr'17,AGT block,1,128,20,CAIGE,72:RAV15,,1
Yr'17,AGT block,1,128,21,CAIGE,73:RAV15,,1
Yr'17,AGT block,1,128,22,CAIGE,74:RAV15,,1
Yr'17,AGT block,1,128,23,CAIGE,75:RAV15,,1
Yr'17,AGT block,1,128,24,Control,Tincurrin,,7
Yr'17,AGT block,1,129,1,Control,Yitpi,,4
Yr'17,AGT block,1,129,2,CAIGE,82:RAV15,,3
Yr'17,AGT block,1,129,3,CAIGE,84:RAV15,,2
Yr'17,AGT block,1,129,4,CAIGE,92:RAV15,,2
Yr'17,AGT block,1,129,5,CAIGE,93:RAV15,,1
Yr'17,AGT block,1,129,6,CAIGE,96:RAV15,,1
Yr'17,AGT block,1,129,7,CAIGE,98:RAV15,,1
Yr'17,AGT block,1,129,8,CAIGE,99:RAV15,,1
Yr'17,AGT block,1,129,9,Control,Livingston,,1
Yr'17,AGT block,1,129,10,CAIGE,101:RAV15,,1
Yr'17,AGT block,1,129,11,CAIGE,106:RAV15,,1
Yr'17,AGT block,1,129,12,CAIGE,118:RAV15,,1
Yr'17,AGT block,1,129,13,CAIGE,122:RAV15,,1
Yr'17,AGT block,1,129,14,CAIGE,124:RAV15,,1
Yr'17,AGT block,1,129,15,CAIGE,125:RAV15,,1
Yr'17,AGT block,1,129,16,CAIGE,128:RAV15,,1
Yr'17,AGT block,1,129,17,Control,Mace,,8
Yr'17,AGT block,1,129,18,CAIGE,132:RAV15,,1
Yr'17,AGT block,1,129,19,CAIGE,138:RAV15,,1
Yr'17,AGT block,1,129,20,CAIGE,139:RAV15,,1
Yr'17,AGT block,1,129,21,CAIGE,141:RAV15,,3
Yr'17,AGT block,1,129,22,CAIGE,143:RAV15,,2
Yr'17,AGT block,1,129,23,CAIGE,145:RAV15,,1
Yr'17,AGT block,1,129,24,Control,Tincurrin,,7
Yr'17,AGT block,1,130,1,Control,Scepter,,5
Yr'17,AGT block,1,130,2,CAIGE,146:RAV15,,3
Yr'17,AGT block,1,130,3,CAIGE,147:RAV15,,4
Yr'17,AGT block,1,130,4,CAIGE,148:RAV15,,2
Yr'17,AGT block,1,130,5,CAIGE,149:RAV15,,3
Yr'17,AGT block,1,130,6,CAIGE,155:RAV15,,2
Yr'17,AGT block,1,130,7,CAIGE,160:RAV15,,1
Yr'17,AGT block,1,130,8,CAIGE,165:RAV15,,1
Yr'17,AGT block,1,130,9,Control,Morocco,,9
Yr'17,AGT block,1,130,10,CAIGE,304:RAV15,,2
Yr'17,AGT block,1,130,11,CAIGE,305:RAV15,,1
Yr'17,AGT block,1,130,12,CAIGE,306:RAV15,,1
Yr'17,AGT block,1,130,13,CAIGE,307:RAV15,,1
Yr'17,AGT block,1,130,14,CAIGE,308:RAV15,,1
Yr'17,AGT block,1,130,15,CAIGE,309:RAV15,,1
Yr'17,AGT block,1,130,16,CAIGE,310:RAV15,,1
Yr'17,AGT block,1,130,17,Control,Morocco,,9
Yr'17,AGT block,1,130,18,CAIGE,311:RAV15,,1
Yr'17,AGT block,1,130,19,CAIGE,1:ZIG14,,8
Yr'17,AGT block,1,130,20,CAIGE,3:ZIG14,,8
Yr'17,AGT block,1,130,21,CAIGE,4:ZIG14,,1
Yr'17,AGT block,1,130,22,CAIGE,5:ZIG14,,1
Yr'17,AGT block,1,130,23,CAIGE,6:ZIG14,,1
Yr'17,AGT block,1,130,24,Control,Scepter,,5
Yr'17,AGT block,1,131,1,Marker,Tincurrin,,7
Yr'17,AGT block,1,131,2,Marker,Tincurrin,,7
Yr'17,AGT block,1,131,3,CAIGE,7:ZIG14,,1
Yr'17,AGT block,1,131,4,CAIGE,8:ZIG14,,3
Yr'17,AGT block,1,131,5,CAIGE,9:ZIG14,,7
Yr'17,AGT block,1,131,6,CAIGE,10:ZIG14,,3
Yr'17,AGT block,1,131,7,CAIGE,11:ZIG14,,1
Yr'17,AGT block,1,131,8,CAIGE,12:ZIG14,,1
Yr'17,AGT block,1,131,9,Marker,Tincurrin,,7
Yr'17,AGT block,1,131,10,CAIGE,13:ZIG14,,1
Yr'17,AGT block,1,131,11,CAIGE,14:ZIG14,,1
Yr'17,AGT block,1,131,12,CAIGE,15:ZIG14,,1
Yr'17,AGT block,1,131,13,CAIGE,16:ZIG14,,3
Yr'17,AGT block,1,131,14,CAIGE,17:ZIG14,,6
Yr'17,AGT block,1,131,15,CAIGE,19:ZIG14,,7
Yr'17,AGT block,1,131,16,CAIGE,22:ZIG14,,3
Yr'17,AGT block,1,131,17,Marker,Tincurrin,,7
Yr'17,AGT block,1,131,18,CAIGE,25:ZIG14,,1
Yr'17,AGT block,1,131,19,CAIGE,26:ZIG14,,1
Yr'17,AGT block,1,131,20,CAIGE,27:ZIG14,,1
Yr'17,AGT block,1,131,21,CAIGE,28:ZIG14,,3
Yr'17,AGT block,1,131,22,CAIGE,29:ZIG14,,2
Yr'17,AGT block,1,131,23,Marker,Tincurrin,,7
Yr'17,AGT block,1,131,24,Marker,Tincurrin,,7
Yr'17,AGT block,1,132,1,Control,Tincurrin,,7
Yr'17,AGT block,1,132,2,CAIGE,30:ZIG14,,1
Yr'17,AGT block,1,132,3,CAIGE,31:ZIG14,,3
Yr'17,AGT block,1,132,4,CAIGE,32:ZIG14,,4
Yr'17,AGT block,1,132,5,CAIGE,33:ZIG14,,1
Yr'17,AGT block,1,132,6,CAIGE,34:ZIG14,,1
Yr'17,AGT block,1,132,7,CAIGE,35:ZIG14,,1
Yr'17,AGT block,1,132,8,CAIGE,37:ZIG14,,1
Yr'17,AGT block,1,132,9,Control,Corack,,4
Yr'17,AGT block,1,132,10,CAIGE,38:ZIG14,,1
Yr'17,AGT block,1,132,11,CAIGE,39:ZIG14,,3
Yr'17,AGT block,1,132,12,CAIGE,40:ZIG14,,1
Yr'17,AGT block,1,132,13,CAIGE,41:ZIG14,,8
Yr'17,AGT block,1,132,14,CAIGE,42:ZIG14,,8
Yr'17,AGT block,1,132,15,CAIGE,43:ZIG14,,1
Yr'17,AGT block,1,132,16,CAIGE,44:ZIG14,,3
Yr'17,AGT block,1,132,17,Control,Tincurrin,,7
Yr'17,AGT block,1,132,18,CAIGE,46:ZIG14,,1
Yr'17,AGT block,1,132,19,CAIGE,47:ZIG14,,6
Yr'17,AGT block,1,132,20,CAIGE,48:ZIG14,,1
Yr'17,AGT block,1,132,21,CAIGE,49:ZIG14,,1
