Trial,Bay,Block,Range,Row,Expt_17,Name,Sr 04/12 mel
Sr '17,A,3,51,1,Marker,Tincurrin,8
Sr '17,A,3,51,2,CAIGE,67:RAV15,4
Sr '17,A,3,51,3,CAIGE,69:RAV15,5
Sr '17,A,3,51,4,CAIGE,70:RAV15,2
Sr '17,A,3,51,5,CAIGE,72:RAV15,1
Sr '17,A,3,51,6,CAIGE,73:RAV15,4
Sr '17,A,3,51,7,Marker,Tincurrin,8
Sr '17,A,3,51,8,CAIGE,74:RAV15,4
Sr '17,A,3,51,9,CAIGE,75:RAV15,1
Sr '17,A,3,51,10,CAIGE,82:RAV15,4
Sr '17,A,3,51,11,CAIGE,84:RAV15,4
Sr '17,A,3,51,12,CAIGE,92:RAV15,3
Sr '17,A,3,51,13,Marker,Tincurrin,8
Sr '17,A,3,51,14,CAIGE,93:RAV15,4
Sr '17,A,3,51,15,CAIGE,96:RAV15,3
Sr '17,A,3,51,16,CAIGE,98:RAV15,4
Sr '17,A,3,51,17,CAIGE,99:RAV15,4
Sr '17,A,3,51,18,CAIGE,101:RAV15,4
Sr '17,A,3,51,19,Marker,Tincurrin,8
Sr '17,A,3,51,20,CAIGE,106:RAV15,7
Sr '17,A,3,51,21,CAIGE,118:RAV15,3
Sr '17,A,3,51,22,CAIGE,122:RAV15,4
Sr '17,A,3,51,23,CAIGE,124:RAV15,4
Sr '17,A,3,51,24,Marker,Tincurrin,8
Sr '17,A,3,52,1,Control,Beaufort,8
Sr '17,A,3,52,2,CAIGE,125:RAV15,6
Sr '17,A,3,52,3,CAIGE,128:RAV15,1
Sr '17,A,3,52,4,CAIGE,132:RAV15,3
Sr '17,A,3,52,5,CAIGE,138:RAV15,4
Sr '17,A,3,52,6,CAIGE,139:RAV15,4
Sr '17,A,3,52,7,Control,Yitpi,8
Sr '17,A,3,52,8,CAIGE,141:RAV15,5
Sr '17,A,3,52,9,CAIGE,143:RAV15,2
Sr '17,A,3,52,10,CAIGE,145:RAV15,4
Sr '17,A,3,52,11,CAIGE,146:RAV15,5
Sr '17,A,3,52,12,CAIGE,147:RAV15,3
Sr '17,A,3,52,13,Control,Sonora,6
Sr '17,A,3,52,14,CAIGE,148:RAV15,4
Sr '17,A,3,52,15,CAIGE,149:RAV15,4
Sr '17,A,3,52,16,CAIGE,155:RAV15,4
Sr '17,A,3,52,17,CAIGE,160:RAV15,5
Sr '17,A,3,52,18,CAIGE,165:RAV15,2
Sr '17,A,3,52,19,Control,Sonora,6
Sr '17,A,3,52,20,CAIGE,304:RAV15,5
Sr '17,A,3,52,21,CAIGE,305:RAV15,8
Sr '17,A,3,52,22,CAIGE,306:RAV15,6
Sr '17,A,3,52,23,CAIGE,307:RAV15,1
Sr '17,A,3,52,24,Control,Trojan,4
Sr '17,A,3,53,1,Control,Shield,5
Sr '17,A,3,53,2,CAIGE,308:RAV15,6
Sr '17,A,3,53,3,CAIGE,309:RAV15,1
Sr '17,A,3,53,4,CAIGE,310:RAV15,5
Sr '17,A,3,53,5,CAIGE,311:RAV15,1
Sr '17,A,3,53,6,CAIGE,1:ZIG14,1
Sr '17,A,3,53,7,Control,Beaufort,8
Sr '17,A,3,53,8,CAIGE,3:ZIG14,1
Sr '17,A,3,53,9,CAIGE,4:ZIG14,2
Sr '17,A,3,53,10,CAIGE,5:ZIG14,4
Sr '17,A,3,53,11,CAIGE,6:ZIG14,5
Sr '17,A,3,53,12,CAIGE,7:ZIG14,2
